Mach,CD Power-Off,CD Power-On
7.77,0.216772947,0.213791518
7.78,0.216644978,0.213670564
7.79,0.216517397,0.213549974
7.8,0.216390177,0.213429719
7.81,0.216263321,0.213309805
7.82,0.216136833,0.213190234
7.83,0.216010707,0.213071001
7.84,0.215884945,0.212952107
7.85,0.215759545,0.212833552
7.86,0.215634516,0.212715343
7.87,0.215509835,0.212597459
7.88,0.215385512,0.212479909
7.89,0.215261546,0.212362693
7.9,0.215137935,0.212245808
7.91,0.215014668,0.212129244
7.92,0.214891764,0.212013019
7.93,0.214769211,0.211897123
7.94,0.214646999,0.211781544
7.95,0.214525136,0.211666292
7.96,0.214403632,0.211551375
7.97,0.214282444,0.211436752
7.98,0.21416162,0.211322471
7.99,0.214041143,0.211208513
8,0.213920996,0.211094864
8.01,0.213801193,0.210981536
8.02,0.21368172,0.210868516
8.03,0.213562598,0.210755825
8.04,0.213443793,0.210643429
8.05,0.213325337,0.210531359
8.06,0.213207215,0.210419602
8.07,0.21308941,0.21030814
8.08,0.212971946,0.210196998
8.09,0.212854808,0.21008616
8.1,0.212737989,0.20997562
8.11,0.212621511,0.209865399
8.12,0.212505352,0.209755477
8.13,0.212389512,0.209645852
8.14,0.212273999,0.209536533
8.15,0.212158821,0.209427528
8.16,0.212043948,0.209318808
8.17,0.211929388,0.209210379
8.18,0.211815161,0.209102263
8.19,0.211701237,0.20899443
8.2,0.211587633,0.208886895
8.21,0.211474347,0.208779659
8.22,0.211361369,0.20867271
8.23,0.2112487,0.20856605
8.24,0.211136346,0.208459685
8.25,0.211024307,0.208353615
8.26,0.210912563,0.208247819
8.27,0.210801131,0.208142317
8.28,0.210690011,0.208037107
8.29,0.210579183,0.207932168
8.3,0.210468673,0.207827528
8.31,0.210358463,0.207723169
8.32,0.21024855,0.207619087
8.33,0.210138923,0.207515272
8.34,0.210029614,0.207411755
8.35,0.209920599,0.207308514
8.36,0.209811877,0.207205546
8.37,0.209703448,0.207102854
8.38,0.209595322,0.207000444
8.39,0.209487474,0.206898294
8.4,0.209379938,0.206796437
8.41,0.209272679,0.206694838
8.42,0.209165708,0.20659351
8.43,0.209059036,0.20649246
8.44,0.208952648,0.206391678
8.45,0.208846544,0.20629116
8.46,0.208740726,0.20619091
8.47,0.2086352,0.206090934
8.48,0.208529956,0.205991223
8.49,0.208424983,0.205891764
8.5,0.2083203,0.205792576
8.51,0.208215896,0.205693651
8.52,0.208111761,0.205594977
8.53,0.208007923,0.205496581
8.54,0.207904351,0.205398434
8.55,0.207801055,0.205300546
8.56,0.207698032,0.205202913
8.57,0.207595295,0.205105549
8.58,0.207492819,0.205008429
8.59,0.207390615,0.204911562
8.6,0.207288691,0.20481496
8.61,0.207187028,0.204718601
8.62,0.207085644,0.204622503
8.63,0.206984519,0.204526648
8.64,0.20688367,0.204431052
8.65,0.20678308,0.204335698
8.66,0.206682752,0.20424059
8.67,0.2065827,0.204145741
8.68,0.206482902,0.204051128
8.69,0.206383368,0.203956764
8.7,0.206284094,0.203862644
8.71,0.206185083,0.203768769
8.72,0.206086332,0.203675139
8.73,0.20598784,0.203581751
8.74,0.205889597,0.203488596
8.75,0.205791621,0.203395693
8.76,0.205693902,0.203303029
8.77,0.20559642,0.203210587
8.78,0.205499214,0.203118405
8.79,0.205402252,0.203026451
8.8,0.205305543,0.202934734
8.81,0.205209076,0.202843244
8.82,0.205112874,0.202752003
8.83,0.205016911,0.202660985
8.84,0.204921198,0.202570203
8.85,0.204825735,0.202479654
8.86,0.204730522,0.202389339
8.87,0.204635536,0.202299237
8.88,0.204540818,0.202209388
8.89,0.204446335,0.202119758
8.9,0.204352089,0.20203035
8.91,0.204258087,0.201941171
8.92,0.20416434,0.201852232
8.93,0.204070825,0.201763511
8.94,0.203977533,0.201674997
8.95,0.203884503,0.20158673
8.96,0.203791703,0.201498679
8.97,0.203699134,0.201410844
8.98,0.203606815,0.201323244
8.99,0.203514723,0.201235857
9,0.203422861,0.201148685
9.01,0.203331235,0.201061734
9.02,0.203239845,0.200975006
9.03,0.203148683,0.20088849
9.04,0.203057753,0.200802193
9.05,0.202967069,0.200716127
9.06,0.202876597,0.20063026
9.07,0.202786359,0.200544612
9.08,0.202696342,0.200459172
9.09,0.202606568,0.200373959
9.1,0.202517003,0.200288943
9.11,0.202427678,0.200204152
9.12,0.202338572,0.200119567
9.13,0.202249675,0.200035177
9.14,0.202161025,0.19995102
9.15,0.202072593,0.199867067
