-5 -0.5581
-4.5 -0.5024
-4 -0.4467
-3.5 -0.3909
-3 -0.3352
-2.5 -0.2794
-2 -0.2235
-1.5 -0.1677
-1 -0.1118
-0.5 -0.056
0 -0.0001
0.5 0.0557
1 0.1116
1.5 0.1674
2 0.2232
2.5 0.2791
3 0.3349
3.5 0.3906
4 0.4464
4.5 0.5021
5 0.5578
5.5 0.6134
6 0.669
6.5 0.7246
7 0.7801
7.5 0.8355
8 0.8909
8.5 0.9462
9 1.0015
9.5 1.0567
10 1.1118
10.5 1.1669
11 1.2219
11.5 1.2768
12 1.3316
12.5 1.3863
13 1.4409
13.5 1.4954
14 1.5498
14.5 1.6042
15 1.6584
